"times","n","c"
0,0,0
0.755181833128345,1,0
0.828035196480242,0,1
2.82778500589978,1,1
3.04581931878937,2,1
3.72384963889413,3,1
3.81736106222302,2,2
3.99725534222206,1,3
4.21487385048648,0,4
5.42816174878381,1,4
5.50168474403578,2,4
5.75569469585914,1,5
7.96766180470056,2,5
8.31274312004414,3,5
8.47642977934763,2,6
8.67258968649865,3,6
8.78444515951876,2,7
8.998409355596,1,8
9.28134211788542,0,9
9.34078127828083,1,9
11.3202477043621,2,9
11.4751235301422,1,10
11.9735300077641,2,10
12.7102987730971,3,10
12.9498572754199,2,11
13.0578606596983,1,12
13.1596158347141,2,12
13.2601961460944,3,12
13.4480818190257,2,13
13.7978947963381,1,14
14.3378353649356,2,14
14.7685892474937,1,15
15.0459099463286,0,16
16.0163120959299,1,16
16.2733992439574,2,16
16.414146725604,3,16
16.7709328652453,2,17
16.9509003694345,1,18
17.6176421238075,0,19
17.8275087043609,1,19
18.3804768385121,2,19
18.4103681979496,1,20
18.6178829360518,0,21
19.7379377649442,1,21
20.5239311882151,2,21
20.6676418989442,3,21
20.9518497527618,2,22
21.2229725014163,1,23
22.2463001351128,2,23
22.3101081326549,1,24
23.4663439457551,2,24
23.5615409405528,1,25
23.6596333629077,0,26
23.7116888107358,1,26
23.7193306330683,0,27
23.922413068367,1,27
24.285318511992,0,28
25.0998543183199,1,28
25.2929511000567,2,28
25.5657891630018,1,29
26.7077158995097,2,29
27.2356145928624,1,30
27.5155994826472,0,31
28.861243501218,1,31
29.378792074866,0,32
30.4224005894161,1,32
30.7630151434227,0,33
32.0215994480934,1,33
32.2449022753194,0,34
32.3774736812422,1,34
32.3808131669731,0,35
34.2806565076287,1,35
34.5051554002974,0,36
34.6004485743295,1,36
35.2248323642613,2,36
35.2902729672725,3,36
35.4605264833309,2,37
35.649094041324,3,37
36.0422732177475,4,37
36.049703672743,3,38
36.4045909719616,2,39
36.5498811559515,1,40
37.8907286993293,0,41
38.104420659148,1,41
38.2222484722971,2,41
38.7922237478154,3,41
38.7972863510907,2,42
38.8045928166593,3,42
39.6194270928316,2,43
39.6497967174595,1,44
39.781216945857,2,44
39.9076355117226,1,45
39.9625361348821,2,45
40.2643886220351,1,46
41.0279521310923,2,46
41.7191855865782,1,47
42.4430926679465,2,47
42.6191460125571,1,48
42.7227340802507,2,48
43.4731183127542,1,49
43.5830322802592,2,49
43.774725952083,1,50
44.6279836873008,2,50
44.7977874350529,1,51
45.6692416822844,2,51
46.4015079905386,3,51
46.8825006509097,2,52
47.4945502987991,1,53
47.7652873416825,2,53
47.7834945263424,1,54
48.3761948605872,2,54
48.8746349722361,3,54
49.2808717851531,4,54
49.5763488573592,3,55
49.826649379311,2,56
49.947611055818,3,56
50.4762119681817,3,56
